project,layer,target,pvalue,classification_type,weighted,minmax,dge_filtering,accuracy,f1_score,recall,precision,auc,auc_ovo,auc_ovr,f1_score_micro,recall_micro,precision_micro,f1_score_weighted,recall_weighted,precision_weighted
TCGA-KIRC,mirna,vital_status,0.01,edge,False,0-1,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7249245852187028,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,False,0.3-1,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7249245852187028,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,False,0.5-1,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7249245852187028,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,False,0.8-1,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7249245852187028,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,True,,,0.6818181818181818,0.5420560747663551,0.5576923076923077,0.5272727272727272,0.7300150829562594,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,True,0-1,,0.7012987012987013,0.5892857142857143,0.6346153846153846,0.55,0.7335972850678733,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,True,0.3-1,,0.6883116883116883,0.5636363636363636,0.5961538461538461,0.5344827586206896,0.7343514328808447,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,True,0.5-1,,0.6753246753246753,0.5370370370370371,0.5576923076923077,0.5178571428571429,0.7324660633484164,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,True,0.8-1,,0.6818181818181818,0.5420560747663551,0.5576923076923077,0.5272727272727272,0.7300150829562594,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,False,,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7277526395173455,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,False,0-1,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7277526395173455,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,False,0.3-1,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7277526395173455,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,False,0.5-1,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7277526395173455,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,both,False,0.8-1,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7277526395173455,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,True,,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.5,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,True,0-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6067119155354449,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,True,0.3-1,,0.6428571428571429,0.4660194174757281,0.4615384615384615,0.4705882352941176,0.6058634992458521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,True,0.5-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6068061840120663,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,True,0.8-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,False,,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,False,0-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,False,0.3-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,False,0.5-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,node,False,0.8-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,True,,,0.7207792207792207,0.6126126126126126,0.6538461538461539,0.576271186440678,0.7348227752639517,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,True,0-1,,0.6883116883116883,0.5636363636363636,0.5961538461538461,0.5344827586206896,0.7303921568627451,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,True,0.3-1,,0.7012987012987013,0.5892857142857143,0.6346153846153846,0.55,0.7335972850678734,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,True,0.5-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7356711915535445,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,True,0.8-1,,0.7207792207792207,0.6126126126126126,0.6538461538461539,0.576271186440678,0.735105580693816,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,False,,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7343514328808447,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,False,0-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7343514328808447,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,False,0.3-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7343514328808447,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,False,0.5-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7343514328808447,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,edge,False,0.8-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7343514328808447,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,True,,,0.7207792207792207,0.6126126126126126,0.6538461538461539,0.576271186440678,0.7352941176470589,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,True,0-1,,0.6883116883116883,0.5636363636363636,0.5961538461538461,0.5344827586206896,0.7288838612368024,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,True,0.3-1,,0.7012987012987013,0.5892857142857143,0.6346153846153846,0.55,0.7319004524886877,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,True,0.5-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7352941176470588,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,True,0.8-1,,0.7207792207792207,0.6126126126126126,0.6538461538461539,0.576271186440678,0.7352941176470589,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,False,,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7337858220211162,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,False,0-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7337858220211162,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,False,0.3-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7337858220211162,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,False,0.5-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7337858220211162,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,both,False,0.8-1,,0.7142857142857143,0.6071428571428571,0.6538461538461539,0.5666666666666667,0.7337858220211162,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,True,,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.5,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,True,0-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6067119155354449,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,True,0.3-1,,0.6428571428571429,0.4660194174757281,0.4615384615384615,0.4705882352941176,0.6058634992458521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,True,0.5-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6068061840120663,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,True,0.8-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,False,,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,False,0-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,False,0.3-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,False,0.5-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.001,node,False,0.8-1,,0.6363636363636364,0.4509803921568627,0.4423076923076923,0.46,0.6071832579185521,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,True,,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.7199283559577677,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,True,0-1,,0.6688311688311688,0.5565217391304348,0.6153846153846154,0.5079365079365079,0.7222850678733032,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,True,0.3-1,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.7205882352941176,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,True,0.5-1,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.717948717948718,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,True,0.8-1,,0.6753246753246753,0.5535714285714286,0.5961538461538461,0.5166666666666667,0.7196455505279035,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,False,,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.7194570135746606,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,False,0-1,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.7194570135746606,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,False,0.3-1,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.7194570135746606,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,False,0.5-1,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.7194570135746606,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,edge,False,0.8-1,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.7194570135746606,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,both,True,,,0.6753246753246753,0.5535714285714286,0.5961538461538461,0.5166666666666667,0.7241704374057316,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,both,True,0-1,,0.6688311688311688,0.5565217391304348,0.6153846153846154,0.5079365079365079,0.7237933634992458,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,both,True,0.3-1,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.723604826546003,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.0001,both,True,0.5-1,,0.6688311688311688,0.5486725663716814,0.5961538461538461,0.5081967213114754,0.7251131221719458,,,,,,,,
